,Balcony_Terrace,Elevator,area,num_rooms,postcode,kaltmiete
431,False,False,58.0,2.0,10405,1000.0
432,False,False,48.0,2.0,10559,625.0
433,True,False,90.0,3.0,13353,1200.0
434,False,False,44.0,1.0,10247,751.0
435,True,False,50.0,2.0,12169,700.0
436,False,False,100.0,4.0,10961,806.0
437,True,False,55.0,2.0,10585,850.0
438,False,False,55.0,2.0,12059,950.0
439,False,False,69.0,2.0,10119,1080.0
440,False,False,52.0,2.0,13509,990.0
441,False,False,48.0,2.0,10407,490.0
442,False,True,62.0,2.0,10243,950.0
443,False,False,34.0,1.0,10997,450.0
444,True,False,75.0,3.0,10119,900.0
445,False,False,70.0,3.0,13189,505.0
446,True,False,42.0,2.0,10969,450.0
447,True,False,58.0,2.0,10249,730.0
448,True,False,81.0,3.0,10249,890.0
449,True,False,56.0,2.0,10247,1210.0
450,False,False,60.0,2.0,10965,759.0
451,True,True,107.0,4.0,10997,1000.0
452,True,False,55.0,2.0,12437,448.0
453,True,False,46.0,2.0,12437,700.0
454,True,False,58.0,2.0,13357,580.0
455,False,True,60.0,2.0,10997,900.0
456,True,False,73.0,3.0,12047,1350.0
457,False,False,97.0,4.0,12055,1200.0
458,True,True,55.0,2.0,10315,640.0
459,False,True,18.0,80.0,10961,500.0
460,True,True,74.0,2.0,10249,950.0
461,False,False,63.0,4.0,13158,2000.0
462,False,False,45.0,2.0,10785,700.0
463,False,True,49.0,2.0,10245,947.0
464,False,False,80.0,2.0,10997,700.0
465,True,False,45.0,2.0,13158,990.0
466,False,False,50.0,3.0,10963,780.0
467,True,False,64.0,2.0,12459,450.0
468,True,True,59.0,3.0,10179,900.0
469,True,False,65.0,2.0,10115,1180.0
470,False,False,67.0,2.0,10435,900.0
471,True,False,78.0,3.0,13158,1400.0
472,False,False,46.0,1.0,10559,500.0
473,True,False,60.0,2.0,12059,800.0
474,False,False,60.0,2.0,12047,900.0
475,False,False,84.0,3.0,10997,410.0
476,False,False,50.0,2.0,12059,890.0
477,True,False,57.0,2.0,10245,799.0
478,False,True,50.0,2.0,10369,393.0
479,True,False,75.0,3.0,13187,800.0
480,True,False,100.0,4.0,10405,900.0
481,False,False,160.0,5.0,10785,800.0
482,True,False,55.0,2.0,10407,615.0
483,True,True,57.0,2.0,12103,800.0
484,True,False,50.0,2.0,10961,566.0
485,False,False,55.0,2.0,10317,670.0
486,True,False,93.0,3.0,10715,820.0
487,False,True,53.0,3.0,10435,1500.0
488,True,False,60.0,2.0,10367,1600.0
489,True,True,99.0,3.0,10585,1450.0
490,True,False,60.0,2.0,10439,700.0
491,False,False,49.0,2.0,10119,990.0
492,False,False,54.0,2.0,10249,700.0
493,True,True,60.0,2.0,10777,1350.0
494,False,False,85.0,3.0,10119,1500.0
495,True,False,67.0,3.0,10365,1250.0
496,True,True,65.0,2.0,10997,1000.0
497,True,True,42.0,2.0,12101,800.0
498,False,False,45.0,2.0,10827,738.0
499,True,False,90.0,2.0,12203,980.0
500,False,True,102.0,3.0,10783,1301.0
501,False,False,82.0,3.0,10437,700.0
502,True,False,83.0,3.0,10997,1300.0
503,True,False,70.0,2.0,13353,900.0
504,True,True,72.0,3.0,10783,1019.0
505,True,False,54.0,2.0,14169,750.0
506,True,False,67.0,2.0,14129,610.0
507,True,False,65.0,2.0,10247,800.0
508,False,False,33.0,1.0,10179,415.0
509,False,True,50.0,2.0,10247,550.0
510,True,True,51.0,2.0,10783,755.0
511,False,False,41.0,2.0,10997,850.0
512,False,False,70.0,2.0,10623,850.0
513,False,False,136.0,3.0,10827,1550.0
514,True,False,68.0,2.0,10409,850.0
515,False,False,55.0,2.0,14169,800.0
516,False,True,59.0,2.0,13086,600.0
517,False,False,54.0,2.0,12055,700.0
518,True,False,57.0,2.0,12053,950.0
519,False,False,60.0,2.0,10559,703.0
520,True,False,60.0,2.0,12055,500.0
521,False,False,58.0,2.0,12043,450.0
522,False,False,42.0,1.0,12439,600.0
523,False,False,40.0,2.0,14059,900.0
524,True,False,69.0,2.0,12487,544.0
525,False,False,55.0,2.0,10999,720.0
526,False,False,66.0,3.0,10405,500.0
527,False,False,40.0,1.0,10407,700.0
528,True,False,90.0,3.0,12049,1200.0
529,False,False,42.0,1.0,10409,390.0
530,True,False,45.0,2.0,10407,1050.0
531,True,False,77.0,2.0,10967,500.0
532,False,False,82.0,2.0,10555,1150.0
533,False,False,90.0,2.0,12045,900.0
534,False,False,55.0,2.0,10589,1150.0
535,True,False,87.0,3.0,10439,1390.0
